Date,Time,Cooling Devices,Indoor Temperature(C),Indoor Humidity(%),Outdoor Temperature(C),Outdoor Humidity(%),Dew Point(C),Feels Like (C),Wind(km/h),Gust(km/h),Wind Direction(deg),ABS Pressure(inhg),REL Pressure(inhg),Solar Rad.(w/m2),UVI,Hourly Rain(mm),Event Rain(mm),Daily Rain(mm),Weekly Rain(mm),Monthly Rain(mm),Yearly Rain(mm),Pattern
2021-07-25 12:00,12:00,1.5,31.9,67,34.6,59,25.5,43.4,1.1,1.8,133,29.76,29.76,634.5,6,0,0,0,0,0.5,0.5,sunday
2021-07-25 12:30,12:30,1.5,32.1,65,34.9,58,25.4,43.8,0.4,1.8,124,29.74,29.74,523.5,5,0,0,0,0,0.5,0.5,sunday
2021-07-25 13:00,13:00,2.5,32.3,66,35.4,62,27,47.3,1.4,3.6,191,29.73,29.73,748.3,7,0,0,0,0,0.5,0.5,sunday
2021-07-25 13:30,13:30,1,32.6,70,34,73,28.5,48.3,0,0,109,29.71,29.71,646.2,6,0,0,0,0,0.5,0.5,sunday
2021-07-25 14:00,14:00,1,32.6,72,33.6,73,28.1,46.9,0.4,1.8,124,29.71,29.71,563.4,5,0,0,0,0,0.5,0.5,sunday
2021-07-25 14:30,14:30,1.5,32.6,73,33.1,77,28.5,47.1,2.2,3.6,117,29.71,29.71,576,5,0,0,0,0,0.5,0.5,sunday
2021-07-25 15:00,15:00,2,32.8,73,33.7,74,28.4,47.8,1.1,1.8,92,29.69,29.69,594.3,5,0,0,0,0,0.5,0.5,sunday
2021-07-25 15:30,15:30,2,33,72,34.4,69,27.9,47.6,0.4,1.8,127,29.69,29.69,530,5,0,0,0,0,0.5,0.5,sunday
2021-07-25 16:00,16:00,2,33.4,70,34.5,69,28,48,1.4,3.6,125,29.69,29.69,153.8,1,0,0,0,0,0.5,0.5,sunday
2021-07-25 16:30,16:30,2,33.5,70,32.9,77,28.3,46.2,0,0,127,29.69,29.69,139.2,1,0,0,0,0,0.5,0.5,sunday
2021-07-25 17:00,17:00,2,33.4,70,33,74,27.8,45.2,1.4,1.8,154,29.7,29.7,92.7,0,0,0,0,0,0.5,0.5,sunday
2021-07-25 18:00,18:00,1,31.5,70,25.7,91,24.1,25.7,4,5.4,285,29.74,29.74,0,0,6.1,6.1,6.1,6.1,6.6,6.6,sunday
2021-07-26 8:00,8:00,1,29.3,78,28.9,84,26,35.3,0,0,168,29.8,29.8,214.2,2,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 8:30,8:30,1.5,29.5,77,31.1,78,26.8,40.5,0,0,168,29.8,29.8,530.9,5,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 9:00,9:00,1,29.8,77,30.7,78,26.4,39.3,2.2,3.6,131,29.8,29.8,679.3,6,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 9:30,9:30,1,30.1,75,31.7,70,25.6,39.6,0,0,120,29.8,29.8,840.6,8,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 10:00,10:00,0.5,30.5,70,31.9,68,25.3,39.3,0.7,1.8,104,29.81,29.81,882.7,8,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 10:30,10:30,2,31.6,65,33,62,24.8,40.2,1.1,1.8,91,29.8,29.8,769.4,7,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 11:00,11:00,2.5,31.6,71,33.2,70,27,44.2,0,0,114,29.79,29.79,779.5,7,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 11:30,11:30,1,31.1,73,33.2,70,27,44.2,1.4,1.8,124,29.79,29.79,773.8,7,0,8.6,0,8.6,9.1,9.1,monday
2021-07-26 12:00,12:00,3,31,73,33.6,69,27.2,45,0.4,1.8,136,29.78,29.78,772.5,7,0,8.6,0,8.6,9.1,9.1,monday
2021-07-28 7:00,7:00,2.5,29.4,76,29.5,78,25.3,35.7,0,0,102,29.78,29.78,148.7,1,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 7:30,7:30,2.5,29.5,75,30.1,76,25.4,36.8,0,0,147,29.78,29.78,340.4,3,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 8:00,8:00,2.5,29.6,74,30.6,73,25.2,37.4,0,0,143,29.8,29.8,502.6,4,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 8:30,8:30,1.5,29.9,73,31.6,68,25,38.6,1.1,1.8,124,29.8,29.8,660.6,6,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 9:00,9:00,2,30.1,74,32,69,25.6,40,0.7,1.8,131,29.8,29.8,836.2,8,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 9:30,9:30,2,30.5,77,31.9,71,26,40.4,2.5,3.6,131,29.8,29.8,938.6,9,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 10:00,10:00,2.5,30.6,74,32.7,68,26.1,41.8,2.5,3.6,143,29.82,29.82,698.7,6,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 10:30,10:30,2.5,30.8,73,32.3,70,26.1,41.2,0.7,1.8,143,29.81,29.81,396.8,3,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 11:00,11:00,2.5,30.9,72,32.5,69,26.1,41.5,0.4,1.8,147,29.78,29.78,847.1,8,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 11:30,11:30,2.5,31.2,71,32.8,68,26.1,41.9,2.9,3.6,186,29.78,29.78,848,8,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 12:00,12:00,3.5,31.5,70,32.9,67,26,41.8,4,7.2,97,29.78,29.78,486.2,4,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 12:30,12:30,2,31.7,70,33.3,66,26.1,42.6,2.2,3.6,141,29.77,29.77,544.3,5,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 13:00,13:00,1.5,31.9,70,33.7,69,27.3,45.3,3.6,7.2,137,29.76,29.76,473.1,4,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 13:30,13:30,1.5,32.1,70,34.2,67,27.2,46.1,0,0,128,29.75,29.75,776.9,7,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 14:00,14:00,2.5,32.3,70,33.8,68,27.1,45.1,3.2,5.4,150,29.73,29.73,698.7,6,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 14:30,14:30,3,32.5,70,34,70,27.8,46.8,0.4,1.8,137,29.72,29.72,488.8,4,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 15:00,15:00,2.5,32.6,71,33.4,72,27.7,45.7,0.7,1.8,130,29.71,29.71,488.8,4,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 15:30,15:30,2.5,32.9,71,33.2,74,28,46.1,2.2,3.6,116,29.71,29.71,133.5,1,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 16:00,16:00,2.5,33.4,71,32.6,76,27.8,44.8,2.9,3.6,113,29.71,29.71,124,1,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 16:30,16:30,2.5,33.4,70,31.3,81,27.6,42.2,5.8,7.2,61,29.72,29.72,57.6,0,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 17:00,17:00,1.5,32.6,73,31.3,81,27.6,42.2,1.4,1.8,125,29.72,29.72,93.5,0,0,0,0,9.1,9.6,9.6,wednesday
2021-07-28 17:30,17:30,0,32.3,74,30.3,84,27.3,39.7,1.4,1.8,123,29.72,29.72,16,0,0,0,0,9.1,9.6,9.6,wednesday
